Matchday,Opponent,Home/Away,xG,Goals,xGA,aGoals,Points,xPoints,WinProb,DrawProb,LossProb
1,COT,Away,2.09,2,1.03,1,3,2.06,0.62,0.2,0.18
2,BVB,Home,0.66,1,0.37,0,3,1.56,0.37,0.45,0.18
3,RWE,Away,0.54,0,0.54,0,1,1.28,0.28,0.44,0.28
4,SVS,Home,2.42,1,1.07,1,1,2.19,0.67,0.18,0.15
6,M60,Home,1.1,0,0.71,1,0,1.66,0.44,0.32,0.24
7,VFB,Away,1.3,0,1.85,3,0,1.04,0.27,0.23,0.5
8,SCV,Home,0.67,2,0.67,1,3,1.3,0.3,0.4,0.3
9,FCS,Away,0.51,0,1.04,0,1,0.88,0.18,0.34,0.48
10,OSN,Home,2.18,3,0.77,1,3,2.27,0.7,0.18,0.12
11,H96,Away,1.93,4,1.14,1,3,1.89,0.56,0.22,0.22
12,AAC,Home,1.27,1,1.63,1,1,1.14,0.3,0.24,0.46
13,WEH,Away,0.68,0,1.24,0,1,0.91,0.2,0.3,0.5
14,VIK,Home,2.21,2,0.93,0,3,2.18,0.66,0.19,0.15
15,HAN,Away,1.41,1,1.04,2,0,1.63,0.45,0.27,0.28
16,FCI,Home,1.52,1,0.44,0,3,2.18,0.65,0.25,0.1
17,SGD,Away,1.5,0,1.53,3,0,1.36,0.37,0.24,0.39
18,UHA,Home,2.02,3,0.64,3,1,2.29,0.7,0.19,0.11
19,WAM,Away,3.18,1,2.81,1,1,1.59,0.47,0.17,0.36
20,COT,Home,0.85,0,1.75,2,0,0.77,0.18,0.23,0.59
21,BVB,Away,3.45,4,1.37,0,3,2.41,0.77,0.12,0.11
22,RWE,Home,2.72,1,1.26,2,0,2.21,0.69,0.16,0.15
23,SVS,Away,3.3,0,1.34,1,0,2.38,0.75,0.13,0.12
24,ERZ,Home,1.72,2,1.29,1,3,1.66,0.47,0.24,0.29
25,M60,Away,1.37,3,1.19,0,3,1.49,0.4,0.27,0.33
26,VFB,Home,2.73,4,0.81,1,3,2.47,0.77,0.14,0.09
27,SCV,Away,1.09,1,0.96,2,0,1.45,0.39,0.3,0.31
28,FCS,Home,1.49,3,1.14,1,3,1.61,0.45,0.26,0.29
29,OSN,Away,2.04,1,0.46,0,3,2.43,0.75,0.18,0.07
30,H96,Home,2.8,2,1.25,2,1,2.25,0.69,0.16,0.15
31,AAC,Away,1.32,1,1.76,0,3,1.1,0.29,0.23,0.48
32,WEH,Home,2.42,4,0.79,2,3,2.36,0.74,0.16,0.1
33,VIK,Away,0.51,2,0.75,0,3,1.07,0.22,0.41,0.37
34,HAN,Home,3.97,4,0.55,0,3,2.82,0.93,0.05,0.02
35,FCI,Away,1.93,3,0.75,0,3,2.17,0.65,0.21,0.14
36,SGD,Home,1.69,1,0.95,1,1,1.88,0.55,0.24,0.21
37,UHA,Away,3.11,2,0.35,1,3,2.78,0.9,0.08,0.02
38,WAM,Home,1.86,1,0.85,0,3,2.06,0.61,0.22,0.17
